phishing,"holiday voucher # 608324 tropical travel package you are receiving this email because you opted in at one of our associates . please do not reply to this email as this address does not accept mail . to remove yourself from this list and not receive future offersplease click here , or send a request ( including email address ) to : voucher fulfillmentl 001 creek road , xxx fort lauderdale"
phishing,"your pharmacy here. would you want cheap perscriptions ? click http://www.example.com/"
phishing,"Make money fast with this scheme! visit the link to know more"
phishing,"save up to 80 % on software products ! save your company thousands of dollars when it needs software ! that promotion just got closer . . . incredible deals on software you need ! free delivery on 10 % more off on orders over $ 200 ! check it out ! !"
phishing,"hi,i sent you an email a few days ago , because you now qualify for a new mortgage . you could get $ 300 , 000 for as little as $ 700 a month ! bad credit is no problem , you can pull cash out or refinance . please click on this link : best regards"
phishing,"replica premium watches and other popular brands hi , get these replica watches from $ 199 : popular brands have a look ?"
phishing,"the bast pharma out ther - same da - y shijpping ! hi ! this is for sure one of the best pahrma we can offer you . we can give special deels and more ."
phishing,"we deliver to your door within 24 hours !"
nonphishing,"thanks for the help but i don ' t think i asked the right question . i need customers on the purchase side . sorry for the misuderstanding . if you could send a list that would be great .sorry again for the inconvenience ."
nonphishing,"unify close schedule the following is our tentative close schedule for this coming month . please keep in the mind the following key times .all errors must be clear by this time . accrual process begins monday . please ensure that i am contacted as soon as possible . thank you"	
nonphishing,"i can receive attachments on my email address . send me one and see if i get it ."
nonphishing,"customer trip proposal please find attached the customer trip proposal as prepared by myself. you will find included the approval form for the executive office with the cost"
nonphishing,"the delivery of the equipment you ordered is rescheduled . - - - automatic notification system ( request # : nchs - 52 bjs 6 ) requested for : user requested by : user . your order ( see below ) has been assigned.technician will contact you for information and delivery time . please contact the technician if you have any question"																														
nonphishing,"my vacation i will be on vacation the week of july 17 th through july 21 st . if you have any questions please refer them to dave . if you need to get in touch with me you can try my phone"
nonphishing,"we have been working on this matter . we are getting the contracts and counter parties activated so they can be pathed for september . i talked to the team this morning and they are working to get the counter parties active . thanks"
nonphishing,"account activated thank you for replying to the verification . congratulations your account has been activated ! you have been added discussion list"
phishing,"shopping for mortgages made easy good day , your application has been pre - approved on thurdsay , august 12 th . your mtg process is pre - approved for rates starting at 3 . 25 % fixed . please use our secure site to fill - out your application .we look foward to hearing from you . have a great day"
phishing,"we cannot cancel your payment no 4722704408, contact you bank"
phishing,"best software prices . save your company thousands of dollars when it needs software ! that promotion just got closer ."
phishing,"the perfect gift buy - premium watch for yourself . all watches arrive in a luxury gift box - the perfect gift ! we have in stock watches like :"										
phishing,"alert : spam prevention cllck the stop sign to stop spam once and for all !"
nonphishing,"Dear Sir / Madam - your latest statement was mailed to your communication address. After your payment is received - you will receive a confirmation text message at your mobile number. Thanks customer support"
nonphishing,"memo from management please review the attached memo"
